id,assessmentPdiId,competenciaId,peso,notaCorte,microInicio,microTermino,createdAt,updatedAt,nivelAtual,metaFinal,justificativa,metaCiclo1,metaCiclo2
62382,60386,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:15,2026-03-07 00:16:24,,,,,
62383,60386,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:15,2026-03-07 00:16:24,,,,,
62384,60387,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62385,60387,30013,opcional,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:24,,,,,
62386,60387,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62387,60387,30016,opcional,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62388,60387,30035,opcional,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62389,60387,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:16,2026-03-05 20:45:16,,,,,
62390,60387,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:24,,,,,
62391,60387,30022,obrigatoria,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:24,,,,,
62392,60387,30028,opcional,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:24,,,,,
62393,60388,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62394,60388,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62395,60388,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62396,60388,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62397,60388,30035,obrigatoria,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62398,60388,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:16,2026-03-05 20:45:16,,,,,
62399,60388,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62400,60388,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:16,2026-03-07 00:16:25,,,,,
62401,60388,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
62402,60389,30034,opcional,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
62403,60389,30013,opcional,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
62404,60389,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
62405,60389,30016,opcional,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
62406,60389,30035,opcional,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:26,,,,,
62407,60389,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:17,2026-03-05 20:45:17,,,,,
62408,60389,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
