id,userId,title,message,type,category,link,isRead,createdAt
240052,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 22:19:20
240053,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 22:22:53
240054,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 22:28:54
240055,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-16 22:40:12
240056,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 00:54:22
240057,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 01:27:05
240058,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 01:51:43
240059,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 02:01:26
240060,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 02:09:12
270001,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 10:43:47
300001,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 13:46:12
300002,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 13:54:13
300003,660196,Sessão de Mentoria #12 Registrada,Sua mentora registrou a sessão #12. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-17 21:54:54
300004,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 22:10:56
300005,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 22:57:32
300006,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 23:12:34
300007,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 23:37:20
300008,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 23:37:48
300009,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-17 23:48:15
300010,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-18 01:05:47
300011,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-18 01:16:48
300012,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-18 01:23:39
330001,660191,Sessão de Mentoria #7 Registrada,Sua mentora registrou a sessão #7. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 12:24:39
330002,660177,Sessão de Mentoria #7 Registrada,Sua mentora registrou a sessão #7. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 12:32:43
330003,660174,Sessão de Mentoria #7 Registrada,Sua mentora registrou a sessão #7. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 12:34:32
330004,660139,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 14:30:23
330005,660125,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 14:49:01
330006,660126,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 14:50:12
330007,660117,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 14:56:23
330008,660130,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 18:14:38
330009,660127,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 18:15:33
330010,660114,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 18:16:20
