id,activityId,userId,status,createdAt,updatedAt
270013,240091,2,inscrito,2026-03-19 01:53:09,2026-03-19 01:53:09
270014,240092,2,inscrito,2026-03-19 01:53:09,2026-03-19 01:53:09
270016,240110,2,inscrito,2026-03-19 01:53:28,2026-03-19 01:53:28
270017,240111,2,inscrito,2026-03-19 01:53:28,2026-03-19 01:53:28
300001,270015,2,inscrito,2026-03-19 18:36:53,2026-03-19 18:36:53
300002,270016,2,inscrito,2026-03-19 18:36:53,2026-03-19 18:36:53
300004,270034,2,inscrito,2026-03-19 19:20:46,2026-03-19 19:20:46
300005,270035,2,inscrito,2026-03-19 19:20:46,2026-03-19 19:20:46
300007,270053,2,inscrito,2026-03-19 19:21:06,2026-03-19 19:21:06
300008,270054,2,inscrito,2026-03-19 19:21:07,2026-03-19 19:21:07
300010,270072,2,inscrito,2026-03-19 19:21:28,2026-03-19 19:21:28
300011,270073,2,inscrito,2026-03-19 19:21:28,2026-03-19 19:21:28
300013,270091,2,inscrito,2026-03-19 20:08:46,2026-03-19 20:08:46
300014,270092,2,inscrito,2026-03-19 20:08:46,2026-03-19 20:08:46
300016,270110,2,inscrito,2026-03-19 21:59:06,2026-03-19 21:59:06
300017,270111,2,inscrito,2026-03-19 21:59:06,2026-03-19 21:59:06
300019,270129,2,inscrito,2026-03-19 22:21:35,2026-03-19 22:21:35
300020,270130,2,inscrito,2026-03-19 22:21:35,2026-03-19 22:21:35
300022,270148,2,inscrito,2026-03-19 22:40:50,2026-03-19 22:40:50
300023,270149,2,inscrito,2026-03-19 22:40:50,2026-03-19 22:40:50
300025,270167,2,inscrito,2026-03-19 22:41:11,2026-03-19 22:41:11
300026,270168,2,inscrito,2026-03-19 22:41:11,2026-03-19 22:41:11
300028,270186,2,inscrito,2026-03-19 22:49:17,2026-03-19 22:49:17
300029,270187,2,inscrito,2026-03-19 22:49:17,2026-03-19 22:49:17
330001,300015,2,inscrito,2026-03-20 16:20:21,2026-03-20 16:20:21
330002,300016,2,inscrito,2026-03-20 16:20:21,2026-03-20 16:20:21
330004,300034,2,inscrito,2026-03-20 23:23:02,2026-03-20 23:23:02
330005,300035,2,inscrito,2026-03-20 23:23:02,2026-03-20 23:23:02
330007,300053,2,inscrito,2026-03-20 23:56:38,2026-03-20 23:56:38
330008,300054,2,inscrito,2026-03-20 23:56:38,2026-03-20 23:56:38
330010,300072,2,inscrito,2026-03-21 00:22:23,2026-03-21 00:22:23
330011,300073,2,inscrito,2026-03-21 00:22:23,2026-03-21 00:22:23
330013,300091,2,inscrito,2026-03-21 00:43:12,2026-03-21 00:43:12
330014,300092,2,inscrito,2026-03-21 00:43:12,2026-03-21 00:43:12
360001,330015,2,inscrito,2026-03-21 19:37:35,2026-03-21 19:37:35
360002,330016,2,inscrito,2026-03-21 19:37:35,2026-03-21 19:37:35
360004,330034,2,inscrito,2026-03-21 19:47:32,2026-03-21 19:47:32
360005,330035,2,inscrito,2026-03-21 19:47:32,2026-03-21 19:47:32
360007,330053,2,inscrito,2026-03-21 19:56:43,2026-03-21 19:56:43
360008,330054,2,inscrito,2026-03-21 19:56:43,2026-03-21 19:56:43
360010,330072,2,inscrito,2026-03-21 20:01:08,2026-03-21 20:01:08
360011,330073,2,inscrito,2026-03-21 20:01:08,2026-03-21 20:01:08
390001,360015,2,inscrito,2026-03-21 22:31:37,2026-03-21 22:31:37
390002,360016,2,inscrito,2026-03-21 22:31:37,2026-03-21 22:31:37
390004,360034,2,inscrito,2026-03-21 22:39:47,2026-03-21 22:39:47
390005,360035,2,inscrito,2026-03-21 22:39:47,2026-03-21 22:39:47
390007,360053,2,inscrito,2026-03-21 22:51:36,2026-03-21 22:51:36
390008,360054,2,inscrito,2026-03-21 22:51:36,2026-03-21 22:51:36
390010,360072,2,inscrito,2026-03-21 22:51:59,2026-03-21 22:51:59
390011,360073,2,inscrito,2026-03-21 22:51:59,2026-03-21 22:51:59
390013,360091,2,inscrito,2026-03-21 23:23:42,2026-03-21 23:23:42
390014,360092,2,inscrito,2026-03-21 23:23:42,2026-03-21 23:23:42
390016,360110,2,inscrito,2026-03-21 23:42:07,2026-03-21 23:42:07
390017,360111,2,inscrito,2026-03-21 23:42:07,2026-03-21 23:42:07
420001,210039,660173,inscrito,2026-03-22 13:17:49,2026-03-22 13:17:49
420004,210044,660173,inscrito,2026-03-22 13:17:55,2026-03-22 13:17:55
420005,210043,660173,inscrito,2026-03-22 13:17:57,2026-03-22 13:17:57
420006,210042,660173,inscrito,2026-03-22 13:17:58,2026-03-22 13:17:58
420007,210045,660173,inscrito,2026-03-22 13:17:59,2026-03-22 13:17:59
420008,210046,660173,inscrito,2026-03-22 13:18:01,2026-03-22 13:18:01
420009,210047,660173,inscrito,2026-03-22 13:18:02,2026-03-22 13:18:02
420010,210050,660173,inscrito,2026-03-22 13:18:03,2026-03-22 13:18:03
420011,210049,660173,inscrito,2026-03-22 13:18:04,2026-03-22 13:18:04
420012,210048,660173,inscrito,2026-03-22 13:18:05,2026-03-22 13:18:05
420013,210052,660173,inscrito,2026-03-22 13:18:06,2026-03-22 13:18:06
420014,210053,660173,inscrito,2026-03-22 13:18:07,2026-03-22 13:18:07
420015,210054,660173,inscrito,2026-03-22 13:18:08,2026-03-22 13:18:08
420016,210059,660173,inscrito,2026-03-22 13:18:09,2026-03-22 13:18:09
